S&P 500 Companies,Latest Prices ($),Change (%)
FMC,117.18,1.60%
Ford Motor,12.20,3.65%
Fortinet,53.75,4.19%
Fortive,61.46,3.17%
Fortune Brands Home & Security,55.13,3.10%
Fox,29.43,1.45%
Fox,27.61,0.91%
Franklin Resources,22.53,3.61%
Freeport-McMoRan,32.04,10.10%
Garmin,82.87,2.52%
Gartner,290.10,3.43%
Generac Holdings,109.60,-0.26%
General Dynamics,242.72,2.30%
General Electric,72.84,4.13%
General Mills,77.05,0.52%
General Motors,35.00,4.73%
Genuine Parts,162.32,3.21%
Gilead Sciences,67.79,2.46%
Global Payments,114.32,1.42%
Globe Life,113.48,3.30%
Goldman Sachs,325.17,4.60%
Halliburton,33.89,7.09%
Hartford Financial Services Group,67.17,2.47%
Hasbro,65.49,2.15%
HCA Holdings,196.74,-5.63%
Healthpeak Properties,22.45,-0.02%
Henry Schein,70.24,3.80%
Hess,135.63,4.35%
Hewlett Packard Enterprise,13.47,5.20%
Hilton Worldwide Holdings,131.24,3.69%
Hologic,62.51,1.48%
Home Depot,275.52,2.22%
Honeywell,182.81,2.91%
Hormel Foods,44.96,0.25%
Host Hotels & Resorts,17.84,3.48%
Howmet Aerospace,35.36,3.91%
HP,26.80,4.87%
Humana,510.79,1.07%
Huntington Bancstocks,14.45,9.47%
Huntington Ingalls Industries,249.88,2.91%
IBM,129.94,1.27%
IDEX,204.02,2.40%
IDEXX Laboratories,337.65,1.95%
Illinois Tool Works,195.86,3.67%
Illumina,220.01,5.45%
Incyte,70.58,2.35%
Ingersoll Rand,46.79,3.52%
Intel,26.97,3.41%
IntercontinentalExchange Group,93.08,3.09%
The Hershey,228.30,1.59%
Harris,247.17,3.36%
International Flavors & Fragrances,94.06,3.17%
International Paper,33.07,3.62%
Interpublic Group of Cos,28.22,0.28%
Intuit,417.18,4.00%
Intuitive Surgical,218.49,3.06%
Invesco,14.89,3.37%
Invitation Homes,33.11,1.81%
IQVIA Holdings,178.20,2.07%
Iron Mountain,47.15,1.86%
J. M. Smucker,142.80,1.25%
J.B. Hunt Transportation Services,165.32,3.01%
Jack Henry & Associates,187.32,1.00%
Johnson & Johnson,168.79,2.24%
Johnson Controls International,53.06,3.46%
JPMorgan Chase,122.26,5.32%
Juniper Networks,28.75,4.17%
Kellogg,72.24,0.61%
KeyCorp,16.90,6.62%
Keysight Technologies,169.00,5.13%
Kimberly-Clark,113.92,1.44%
Kimco Realty,19.69,2.42%
Kinder Morgan,17.51,2.31%
KLA-Tencor,290.63,4.92%
Kroger,43.64,3.51%
Laboratory,211.89,0.41%
Lam Research,369.29,3.77%
Lamb Weston Holdings,81.73,-1.18%
Las Vegas Sands,39.06,3.95%
Leidos Holdings,95.38,2.21%
Lennar,73.46,2.86%
Lincoln National,50.38,5.60%
Linde,288.34,2.21%
Live Nation Entertainment,79.58,0.93%
LKQ,51.49,2.82%
Lockheed Martin,454.68,2.33%
Loews,55.50,3.41%
Lowe's Companies,182.42,2.33%
Lumen Technologies,6.66,-0.60%
Lyondellbasell Industries,82.20,3.93%
M&T Bank,161.73,0.21%
Marathon Oil,29.15,3.30%
Marathon Petroleum Corporation,111.38,1.81%
MarketAxess Holdings,243.02,4.99%
Marriott,153.49,4.05%
Marsh & McLennan Cos,154.90,0.24%
Martin Marietta Materials,315.21,3.62%
Masco,46.41,3.99%
MasterCard,302.35,2.07%
McCormick,73.85,1.46%
McDonald's,254.59,1.93%
McKesson,370.60,3.18%
Medtronic,83.28,1.02%
Merck,95.68,2.96%
Meta Platforms,130.01,-1.16%
MetLife,68.06,3.12%
Mettler-Toledo International,"1,175.74",2.69%
MGM Resorts International,33.91,4.44%
Microchip Technology,61.85,4.37%
Micron Technology,56.05,4.38%
Microsoft,242.12,2.53%
Mid-America Apartment Communities,149.55,1.32%
Moderna,128.32,8.40%
Mohawk Industries,95.32,3.10%
Molina Healthcare,360.00,1.61%
Molson Coors Brewing Company,49.15,1.82%
Mondelez,57.35,0.77%
Monolithic Power Systems,332.83,4.85%
Monster Beverage,87.59,0.67%
Moody's,241.94,1.91%
Morgan Stanley,79.26,3.47%
Motorola Solutions,226.23,2.31%
MSCI,401.31,1.91%
Nasdaq,57.74,1.58%
NetApp,65.60,4.99%
Netflix,289.57,7.98%
Newell Brands,15.02,1.97%
Newmont Mining,42.42,3.12%
News b,17.34,2.54%
News,17.20,3.06%
NextEra Energy,71.65,1.46%
Nike,88.55,1.93%
Nisource,24.50,1.45%
Norfolk Southern,208.21,1.73%
Northern Trust,79.67,3.19%
Northrop Grumman,522.95,1.95%
NortonLifeLock,21.80,0.93%
Norwegian Cruise Line,14.90,4.86%
NRG Energy,42.35,4.03%
Nucor,135.54,8.55%
NVIDIA,124.66,2.23%
NVR,"4,028.16",1.62%
NXP Semiconductors,145.25,4.47%
O Reilly Automotive,744.07,1.80%
Occidental Petroleum,71.26,3.49%
The Mosaic,53.10,3.07%
Old Dominion Freight Line,260.43,1.08%
Omnicom Group,70.20,3.30%
ONEOK,56.58,2.76%
Oracle,72.70,5.00%
Organon & Company,23.66,0.42%
Otis Worldwide Corporation Registered Shs When Issued,66.79,3.15%
Paccar,90.17,2.97%
Packaging,116.94,3.63%
Parker Hannifin,269.58,3.76%
Paychex,112.16,0.99%
Paycom Software,322.96,1.45%
PayPal,83.94,-0.99%
Pentair,39.61,1.56%
PepsiCo,173.06,0.93%
PerkinElmer,130.57,3.71%
Pfizer,44.98,4.85%
Philip Morris,86.51,1.76%
Phillips 66,100.40,2.67%
Pinnacle West Capital,64.20,2.47%
Pioneer Natural Resources,264.25,4.06%
PNC Financial Services Group,156.41,5.75%
Pool,284.83,0.32%
PPG Industries,112.57,3.95%
PPL,25.69,2.82%
Principal Financial Group,78.84,1.65%
Procter & Gamble,128.59,1.26%
Progressive,122.44,3.07%
Prologis,103.18,0.65%
Prudential Financial,98.34,3.45%
PTC,112.39,3.86%
,54.31,1.02%
,292.55,-0.18%
PulteGroup,37.49,2.47%
Qorvo,85.49,4.10%
QUALCOMM,115.74,3.36%
Quanta Services,133.39,2.03%
Quest Diagnostics,136.76,1.58%
Ralph Lauren a,90.71,1.16%
Raymond James Financial,100.99,2.99%
Raytheon Technologies,88.57,1.54%
Realty Income,57.65,0.31%
Regency Centers,55.67,2.50%
Regeneron Pharmaceuticals,713.91,1.14%
Regions Financial,19.51,-0.96%
Republic Services,133.55,1.00%
ResMed,222.28,2.26%
Robert Half,73.01,-8.50%
ViacomCBS,19.22,0.58%
Rockwell Automation,231.91,3.00%
Rollins,36.43,1.28%
Roper Industries,370.74,0.91%
Ross Stores,85.07,3.13%
Royal Caribbean Cruises,49.22,3.62%
S&P Global,295.91,1.39%
